Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
Quadratic Probing,72,12,89,35,66,54,47,71,30,91,10
Quadratic Probing,73,7,94,28,73,46,55,71,30,94,7
Quadratic Probing,74,9,92,37,64,55,46,76,25,95,6
Quadratic Probing,75,11,90,31,70,61,40,82,19,95,6
Quadratic Probing,76,18,83,36,65,58,43,80,21,96,5
Quadratic Probing,77,10,91,22,79,39,62,57,44,84,17
Quadratic Probing,78,8,93,27,74,50,51,72,29,83,18
Quadratic Probing,79,15,86,35,66,57,44,76,25,94,7
Quadratic Probing,80,9,92,30,71,51,50,70,31,91,10
Quadratic Probing,81,10,91,30,71,52,49,77,24,93,8
Quadratic Probing,82,14,87,31,70,45,56,65,36,91,10
Quadratic Probing,83,8,93,18,83,35,66,56,45,83,18
Quadratic Probing,84,7,94,27,74,46,55,61,40,80,21
Quadratic Probing,85,6,95,31,70,43,58,60,41,80,21
Quadratic Probing,86,10,91,28,73,50,51,73,28,91,10
Quadratic Probing,87,11,90,28,73,46,55,69,32,94,7
Quadratic Probing,88,9,92,32,69,53,48,74,27,98,3
Quadratic Probing,89,9,92,33,68,50,51,72,29,91,10
Quadratic Probing,90,10,91,31,70,61,40,84,17,99,2
Quadratic Probing,91,11,90,29,72,51,50,75,26,96,5
Quadratic Probing,92,15,86,40,61,55,46,78,23,99,2
Quadratic Probing,93,11,90,35,66,55,46,65,36,94,7
Quadratic Probing,94,14,87,40,61,59,42,79,22,90,11
Quadratic Probing,95,5,96,27,74,51,50,77,24,97,4
Quadratic Probing,96,15,86,35,66,57,44,71,30,97,4
Quadratic Probing,97,15,86,32,69,49,52,73,28,93,8
Quadratic Probing,98,9,92,22,79,34,67,53,48,75,26
Quadratic Probing,99,1,9,3,7,3,7,5,5,7,3
LinkedList,0,5,96,29,75,46,63,67,48,90,38
LinkedList,1,14,87,36,66,49,58,73,44,92,34
LinkedList,2,9,92,25,81,53,57,75,45,99,36
LinkedList,3,8,93,28,75,48,61,63,58,84,42
LinkedList,4,6,95,25,79,47,63,71,50,87,44
LinkedList,5,10,91,29,76,55,57,69,51,95,41
LinkedList,6,5,96,30,74,46,62,73,45,92,36
LinkedList,7,9,92,24,80,34,73,48,62,67,50
LinkedList,8,10,91,33,73,50,64,73,51,91,40
LinkedList,9,6,95,21,82,39,70,57,59,75,49
LinkedList,10,9,92,24,78,43,67,57,57,77,50
LinkedList,11,10,91,28,74,52,60,71,48,96,37
LinkedList,12,6,95,23,79,43,65,54,58,81,48
LinkedList,13,14,87,27,77,48,64,62,56,85,48
LinkedList,14,13,89,35,70,54,57,73,49,90,43
LinkedList,15,20,81,43,65,64,54,86,38,113,25
LinkedList,16,10,91,31,73,52,56,70,50,88,38
LinkedList,17,8,93,23,80,51,58,73,44,92,37
LinkedList,18,9,92,32,74,50,61,72,53,105,38
LinkedList,19,12,89,44,61,67,46,88,33,108,24
LinkedList,20,10,91,31,75,59,56,86,44,109,35
LinkedList,21,11,90,25,80,44,66,63,50,83,41
LinkedList,22,9,92,33,75,54,60,78,45,91,39
LinkedList,23,8,94,31,74,45,65,63,54,77,46
LinkedList,24,9,92,38,70,61,54,84,46,116,33
LinkedList,25,10,91,40,66,53,58,83,43,100,35
LinkedList,26,10,91,35,74,54,60,77,46,99,36
LinkedList,27,13,89,29,76,45,66,64,54,83,43
LinkedList,28,10,92,28,77,60,56,82,48,107,33
LinkedList,29,12,91,27,76,49,61,67,54,87,46
LinkedList,30,7,94,30,76,54,57,75,47,95,38
LinkedList,31,11,90,34,71,50,59,68,47,96,36
LinkedList,32,7,94,32,72,54,54,76,43,100,31
LinkedList,33,10,91,29,74,49,62,73,49,93,36
LinkedList,34,13,88,28,77,50,63,70,52,88,42
LinkedList,35,9,92,35,70,53,59,73,51,93,37
LinkedList,36,12,89,37,70,54,56,74,47,86,41
LinkedList,37,10,91,29,74,47,57,64,47,85,33
LinkedList,38,10,91,32,72,55,61,80,45,93,38
LinkedList,39,15,88,31,73,46,63,63,55,78,47
LinkedList,40,5,96,24,80,43,66,58,56,79,46
LinkedList,41,12,89,30,75,46,62,67,50,81,42
